project_id,doc_era,pdf_url,doc_type_found,doc_title,found
P009621,SAR,http://documents.worldbank.org/curated/en/733771468049187001/pdf/multi-page.pdf,Staff Appraisal Report,India - Second Port of Calcutta Project,TRUE
P009680,SAR,http://documents.worldbank.org/curated/en/352481468035367034/pdf/multi-page.pdf,Staff Appraisal Report,India - Bombay Water Supply and Sewerage Project,TRUE
P009701,SAR,http://documents.worldbank.org/curated/en/416321468042559047/pdf/multi-page.pdf,Staff Appraisal Report,India - Andhra Pradesh Irrigation and Command Area Development (CAD) Composite Project,TRUE
P009901,SAR,http://documents.worldbank.org/curated/en/615031468034139370/pdf/multi-page.pdf,Staff Appraisal Report,India - Second Karnataka Power Project,TRUE
P009854,SAR,http://documents.worldbank.org/curated/en/995501468034757446/pdf/multi-page.pdf,Staff Appraisal Report,India - National Capital (Phase I) Power Supply Project,TRUE
P009711,SAR,http://documents.worldbank.org/curated/en/882631468267905292/pdf/multi-page.pdf,Staff Appraisal Report,India - Uttar Pradesh Water Supply and Sewerage Project,TRUE
P009910,SAR,http://documents.worldbank.org/curated/en/533771468285628561/pdf/multi0page.pdf,Staff Appraisal Report,India - Sixth (National Family Welfare Training and Systems Development) Population Project,TRUE
P009840,SAR,http://documents.worldbank.org/curated/en/867661468043458587/pdf/multi-page.pdf,Staff Appraisal Report,India - National Highways Project,TRUE
P009775,SAR,http://documents.worldbank.org/curated/en/173811468290745443/pdf/multi-page.pdf,Staff Appraisal Report,India - Madhya Pradesh Medium Irrigation Project,TRUE
P009948,SAR,http://documents.worldbank.org/curated/en/772511468041119256/pdf/multi-page.pdf,Staff Appraisal Report,India - Karnataka Power Project,TRUE
P009777,SAR,http://documents.worldbank.org/curated/en/135951468041644319/pdf/multi-page.pdf,Staff Appraisal Report,India - Second Madhya Pradesh Agricultural Extension Project,TRUE
P009784,SAR,http://documents.worldbank.org/curated/en/777451468268201092/pdf/multi-page.pdf,Staff Appraisal Report,India - Fourth Agricultural Refinance and Development Corporation Credit Project,TRUE
P009771,SAR,http://documents.worldbank.org/curated/en/323911468041099399/pdf/multi-page.pdf,Staff Appraisal Report,India - Second National Cooperative Development Corporation Project,TRUE
P009859,SAR,http://documents.worldbank.org/curated/en/291201468268488886/pdf/multi-page.pdf,Staff Appraisal Report,India - Bihar Public Tubewell Project,TRUE
P009778,SAR,http://documents.worldbank.org/curated/en/177821468290745145/pdf/multi-page.pdf,Staff Appraisal Report,India - Maharashtra Agricultural Extension Project,TRUE
P009706,SAR,http://documents.worldbank.org/curated/en/386801468267627551/pdf/multi-page.pdf,Staff Appraisal Report,India - Fertilizer Industry Project,TRUE
P009812,SAR,http://documents.worldbank.org/curated/en/147281468051231251/pdf/multi-page.pdf,Staff Appraisal Report,India - A Pilot Project For Watershed Development in Rainfed Areas,TRUE
P009820,SAR,http://documents.worldbank.org/curated/en/909681468043458818/pdf/multi-page.pdf,Staff Appraisal Report,India - Dudhichua Coal Project,TRUE
P009750,SAR,http://documents.worldbank.org/curated/en/189291468269109820/pdf/multi-page.pdf,Staff Appraisal Report,India - Ramagundam Thermal Power Project,TRUE
P009763,SAR,http://documents.worldbank.org/curated/en/180601468042341377/pdf/multi-page.pdf,Staff Appraisal Report,India - Gujarat Community Forestry Project,TRUE
P009717,SAR,http://documents.worldbank.org/curated/en/643961468041375746/pdf/multi-page.pdf,Staff Appraisal Report,India - West Bengal Agricultural Extension and Research Project,TRUE
P009804,SAR,http://documents.worldbank.org/curated/en/211981468285312729/pdf/multi-page.pdf,Staff Appraisal Report,India - South Bassein Offshore Gas Development Project,TRUE
P009818,SAR,http://documents.worldbank.org/curated/en/801831468269374657/pdf/multi-page.pdf,Staff Appraisal Report,India - Cambay Basin Petroleum Project,TRUE
P009747,SAR,http://documents.worldbank.org/curated/en/453451468033866279/pdf/multi-page.pdf,Staff Appraisal Report,India - Uttar Pradesh Social Forestry Project,TRUE
P009765,SAR,http://documents.worldbank.org/curated/en/495751468258854242/pdf/multi-page.pdf,Staff Appraisal Report,India - Tamil Nadu Nutrition Project,TRUE
P009782,SAR,http://documents.worldbank.org/curated/en/691331468268843394/pdf/multi-page.pdf,Staff Appraisal Report,India - Bihar Rural Roads Project,TRUE
P009744,SAR,http://documents.worldbank.org/curated/en/539361468266449531/pdf/multi-page.pdf,Staff Appraisal Report,India - Haryana Irrigation Project,TRUE
P009871,SAR,http://documents.worldbank.org/curated/en/567861468035417382/pdf/multi-page.pdf,Staff Appraisal Report,India - Third Railway Modernization Project,TRUE
P009722,SAR,http://documents.worldbank.org/curated/en/944711468034805785/pdf/multi-page.pdf,Staff Appraisal Report,India - Singrauli Thermal Power Project,TRUE
P009745,SAR,http://documents.worldbank.org/curated/en/115851468283742222/pdf/multi-page.pdf,Staff Appraisal Report,India - National Agricultural Research Project,TRUE
P009754,SAR,http://documents.worldbank.org/curated/en/457881468283741901/pdf/multi-page.pdf,Staff Appraisal Report,India - Maharashtra Water Supply and Sewerage Project,TRUE
P009735,SAR,http://documents.worldbank.org/curated/en/145851468258862242/pdf/multi-page.pdf,Staff Appraisal Report,India - Bihar Agricultural Extension and Research Project,TRUE
P009755,SAR,http://documents.worldbank.org/curated/en/853961468041991423/pdf/multi-page.pdf,Staff Appraisal Report,India - Karnataka Sericulture Project,TRUE
P009756,SAR,http://documents.worldbank.org/curated/en/684321468041128304/pdf/multi-page.pdf,Staff Appraisal Report,India - Third Agricultural Refinance and Development Corporation Credit Project,TRUE
P009647,SAR,http://documents.worldbank.org/curated/en/198531468267917837/pdf/multi-page.pdf,Staff Appraisal Report,India - Punjab Agricultural Credit Project,TRUE
P009849,SAR,http://documents.worldbank.org/curated/en/879371468051271135/pdf/multi-page.pdf,Staff Appraisal Report,India - Ninth Telecommunications Project,TRUE
P009805,SAR,http://documents.worldbank.org/curated/en/505621468033328597/pdf/multi-page.pdf,Staff Appraisal Report,India - Upper Indravati Hydro Project,TRUE
P009821,SAR,http://documents.worldbank.org/curated/en/173961468257962430/pdf/multi-page.pdf,Staff Appraisal Report,India - Third Population Project,TRUE
